,text
907,"Maastricht University offers a Master program called 'Globalisation and Development Studies' in Maastricht. The program lasts for 1 year. Program Overview: The Master of Arts in Globalisation and Development Studies (GDS) prepares students for academic and professional careers in the field of globalisation and development. Globalisation and Development Studies is a one-year, selective, international and interdisciplinary programme taught in English. Do you have a passion for research and work in the field of globalisation and development, rooted in undergraduate studies or experience in the field? Are you interested in individuals and communities, as well as in the broader relations between the Global North and South? Do you have the ambition to develop your academic research skills and to use academic insights to make a positive impact in the world? If so, this may be the right programme for you. The master's in Globalisation & Development Studies is a social science programme that focuses on how the dynamics of globalisation affect developing areas. You will develop the theoretical, analytical and practical skills that are essential for either an academic or professional career in globalisation and development. This program awards a degree titled 'Master of Arts'. The language of instruction is English. The program duration is 1 year. It carries a total of Information not available credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: IELTS overall band (minimum score or level: 6.5); or TOEFL internet based (minimum score or level: 90). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Jun '25 for EU/EEA applicants, and 1 May '26 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://curriculum.maastrichtuniversity.nl/education/master/master-globalisation-and-development-studies."
908,"Maastricht University offers a Short or summer course program called 'Social Innovation and Entrepreneurship' in Maastricht. The program lasts for 5 days. Program Overview: While there are many emerging perspectives on social innovation, most generally a social innovation can be understood as an intentional, positive, creative shift in systemic social-ecological patterns. Many social innovations have global ambitions, but even when pursued primarily at the local level, social innovations go beyond simply providing a needed service or remediation. They challenge and experiment with a given system’s underlying building blocks: its rules, policies, technologies, structures, beliefs, habits, values, etc. Social innovation can be pursued from any organisational platform, from businesses to not-for-profits to government agencies. Businesses and other types of organisations are increasingly being called upon to act as innovative agents of social benefit. This call is particularly strong in emerging markets. This program awards a degree titled '-'. The language of instruction is English. The program duration is 5 days. It carries a total of 2 ECTS credits. The program is accredited by Information not available. Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 28 Jul '25, the application deadline is 27 Jun '25 for EU/EEA applicants, and 27 Jun '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://maastricht.dreamapply.com/courses/course/320-social-innovation-and-entrepreneurship."
909,"Maastricht University offers a Master program called 'Learning and Development in Organisations' in Maastricht. The program lasts for 1 year. Program Overview: Are you passionate about learning at work? Are you curious about how individuals, teams, and organisations can contribute to innovation and performance through creating, applying, and sharing knowledge? Or about how learning can help organisations thrive on change and unpredictability? Then the MSc. Learning and Development in Organisations might be the perfect programme for you. This interdisciplinary programme combines insights from learning sciences, management, and labour economics, providing you with a holistic and unique perspective to apply learning as a strategic tool. Our graduates work as learning & development specialists in consultancy or in the HR departments of organisations across 21 countries. They focus on challenges such as talent management in a tight labour market, learning with AI and automation, performance management, coaching, and leadership development. They also become leaders in education or pursue a research career. This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 1 year. It carries a total of 60 ECTS credits. The program is accredited by AACSB. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Jun '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://curriculum.maastrichtuniversity.nl/education/master/master-learning-and-development-organisations."
910,"Maastricht University offers a Master program called 'Organisation: Management, Change and Consultancy' in Maastricht. The program lasts for 11 months. Program Overview: Are you interested in managing people and leading change? Do you want to know what it takes to motivate employees and foster learning in organisations? Do you want to understand why managers, employees and consultants behave the way they do? Are you interested in how psychology can be applied to business? Then the specialisation in Organisation: Management, Change and Consultancy could be right for you. The specialisation is part of the master's programme in International Business and it's for students looking for a career in management. Combining insights from management, organisational behaviour and psychology, the programme integrates fundamental and cutting-edge knowledge on leadership and management with expertise on learning and change in organisations. With international network and double-degree programme options, the Organisation: Management, Change and Consultancy programme is one of the most unique and dynamic management options out there. Are you a critical thinker curious about how organisations function? Study MSc IB/Organisation: Management, Change and Consultancy! This program awards a degree titled '-'. The language of instruction is English. The program duration is 11 months. It carries a total of 60 ECTS credits. The program is accredited by Information not available. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Jun '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://curriculum.maastrichtuniversity.nl/education/master/master-international-business-track-organisation-management-change-and-consultancy."
911,"Maastricht University offers a Short or summer course program called 'Human Resources Management, Leadership and Culture in a Changing and Multicultural Context' in Maastricht. The program lasts for 12 days. This program awards a degree titled '-'. The language of instruction is English. The program duration is 12 days. It carries a total of 4 ECTS credits. The program is accredited by Information not available. Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 4 Aug '25, the application deadline is 4 Jul '25 for EU/EEA applicants, and 4 Jul '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://maastricht.dreamapply.com/courses/course/137-human-resources-management-leadership-and-culture-changing-and-multicultural-context?search=56309."
912,"Maastricht University offers a Short or summer course program called 'From Cradle to Cortex: How Experiences in Infancy Shape the Brain' in Maastricht. The program lasts for 5 days. Program Overview: This course will address two major questions. The first question: How do early experiences during infancy affect a developing brain? The second question: How, in turn, do the structures of the brain influence child behaviour? Throughout this class students will compare how childrearing practices have changed from hunter-gatherer societies to modern day. Are parenting practices better in this century? Lectures and coursework will focus on sensitive periods, neural plasticity, and adverse childhood experiences among other topics. Students will discuss how knowledge of child development influences how societies make decisions about children. Content: Lecture, open discussion, review research, and news articles each day. This program awards a degree titled '-'. The language of instruction is English. The program duration is 5 days. It carries a total of 2 ECTS credits. The program is accredited by Information not available. Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 14 Jul '25, the application deadline is 13 Jun '25 for EU/EEA applicants, and 13 Jun '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://maastricht.dreamapply.com/courses/course/308-cradle-cortex-experiences-infancy-shape-brain."
913,"Transnationale Universiteit Limburg offers a Master program called 'Artificial Intelligence' in Maastricht. The program lasts for 2 years. Program Overview: Are you an analytical thinker who enjoys working on intelligent computer systems? Would you like to know more about topics such as data mining, machine learning and information retrieval? If so, the master in Artificial Intelligence is the right choice for you. You’ll learn how to use and develop computer systems that can learn from experience, recognise patterns in vasts amounts of data and reason strategically in complex decision-making situations. The programme is very flexible, which means you can tailor it to your interests and ambitions. You’ll also have the opportunity to work on real-life cases provided by different organisations, giving you all the preparation you need to pursue a career as an artificial intelligence specialist at a research institute or company. This programme is fully taught by and at Maastricht University by the Department of Advanced Computing Sciences. Interested? please visit: https://curriculum.maastrichtuniversity.nl/education/partner-program-master/artificial-intelligence This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 2 years. It carries a total of 120 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: IELTS reading (minimum score or level: 6.5); or TOEFL internet based (minimum score or level: 90); or TOEFL computer based (minimum score or level: 232); or TOEFL paper based (minimum score or level: 575); or Cambridge Certificate in Advanced English (minimum score or level: C). Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Jun '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://curriculum.maastrichtuniversity.nl/education/partner-program-master/artificial-intelligence."
914,"Maastricht University offers a Master program called 'Modern Political Culture: Ideas and Discourses in Context' in Maastricht. The program lasts for 1 year. Program Overview: The MA in Arts and Culture specialisation in Modern Political Culture explores key problems in contemporary politics within their broader cultural and social contexts. We are living through an era that has shattered many certainties about political cultures: new movements have emerged; Western democracy is challenged by socio-political forces; the environmental question is ever-present; awareness of social inequality has grown; and armed conflict is a reality in many parts of the world, such as Ukraine and the Middle East. This programme equips you with analytical tools to understand this complex present and its contested origins. Courses focus on pressing political challenges: tensions in democratic governance; national identity construction and representation; political violence origins and legacies; post-colonial issues; and cultural responses to inequality. This specialisation is for those unsatisfied with easy answers, eager to tackle complex subjects, and wanting an academic toolkit to think critically about contemporary issues. You will approach politics interdisciplinary, using methods from history, political philosophy, cultural studies, and political science, and be trained in advanced research and writing skills. The programme includes opportunities for internships and culminates in an original thesis on a chosen topic, supervised by an expert. This program awards a degree titled '-'. The language of instruction is English. The program duration is 1 year. It carries a total of Information not available credits. The program is accredited by Information not available. Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Jun '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://curriculum.maastrichtuniversity.nl/education/master/master-modern-political-culture-ideas-and-discourses-context."
915,"Maastricht University offers a Short or summer course program called 'Marketing for the Greater Good' in Maastricht. The program lasts for 5 days. Program Overview: “Markets, marketing, and marketing systems are what marketers and stakeholders make of them (Schultz, 2007: 224).” This module extends from a micro to a macro perspective to explore the relationship between marketing and society and the impact of markets and marketing practices in our current world. It encompasses elements of: - Business & consumer rights - Responsibilities & resistance - Sustainability - Social marketing - Critical marketing - Consumer society This program awards a degree titled '-'. The language of instruction is English. The program duration is 5 days. It carries a total of 2 ECTS credits. The program is accredited by Information not available. Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 21 Jul '25, the application deadline is 20 Jun '25 for EU/EEA applicants, and 20 Jun '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://maastricht.dreamapply.com/courses/course/283-marketing-better-future."
916,"Maastricht University offers a Short or summer course program called 'Introduction to Data Analytics in R - Online' in Maastricht. The program lasts for 5 days. Program Overview: Please note that this course will take place online. The current course introduces participants to one specific software package, namely the open-source programming environment R, and the accompanying developers’ environment R Studio. Through lectures and interactive assignment-based tutorials, students will be introduced to three crucial aspects of data analytics in R: (i) basic objects and operations in R; (ii) working with data in R (management, analysis, and visualization); and (iii) control flow and programming in R. The course offers a good foundation for individuals who intend to get involved in data analytics (e.g., start a business intelligence/analytics master program or plan to take other, independent data analytics courses), but have little or no coding/programming experience. The skills acquired in this course are also useful for data analytics in syntax-driven environments other than R. The course is concentrated in one week, with three contact hours on each day of that week. The sessions are a mix of (interactive) lectures and tutorial meetings. During the lectures, we learn new material, whereas during the tutorial meetings, we discuss assignments to train our understanding of the studied material. This program awards a degree titled '-'. The language of instruction is English. The program duration is 5 days. It carries a total of 2 ECTS credits. The program is accredited by Information not available. Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 18 Aug '25, the application deadline is 18 Jul '25 for EU/EEA applicants, and 18 Jul '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://maastricht.dreamapply.com/courses/course/256-introduction-data-analytics-r--online."
917,"Maastricht University offers a Master program called 'Strategic Marketing' in Maastricht. The program lasts for 11 months. Program Overview: Are you interested in the ins and outs of marketing in a fast-paced, international business? Have you ever wondered why an intimate understanding of customers is so important to an organisation’s success? Do you want to find out how marketing and innovations can be utilised to deliver superior value to companies and customers? Strategic Marketing revolves around four core areas: connecting with customers, creating value, managing innovations and developing data-driven strategies. It focuses on the role of marketing from the perspective of strategic, top management decisions, and blends state-of-the-art scientific knowledge with practice. Skills, analytical competences and an international mind-set are developed through team projects and real-life cases from our partner companies. This program awards a degree titled '-'. The language of instruction is English. The program duration is 11 months. It carries a total of 60 ECTS credits. The program is accredited by Information not available. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Jun '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://curriculum.maastrichtuniversity.nl/education/master/master-international-business-track-strategic-marketing."
918,"Maastricht University offers a Bachelor program called 'Data Science and Artificial Intelligence' in Maastricht. The program lasts for 3 years. Program Overview: Bachelor's programme in which solutions to knowledge problems are found by collecting, adjusting & enriching information using computer science, applied mathematics & artificial intelligence. The Data Science and Artificial Intelligence programme offers you a unique combination of courses in applied mathematics, computer science and artificial intelligence. This bachelor's programme is goal-oriented, practical and uses applied learning, distinguishing it from traditional computer science or mathematics programmes.Students bridge the gap between theory and practice by applying mathematical and computer models, classic optimization methods, and modern intelligence techniques to actual projects, allowing them to arrive at efficient, elegant solutions. The programme is designed around the small-scale Project-Centred Learning (PCL) educational model, in which you work closely together with other students. From day one, you immediately apply what you have learned in the lectures and become familiar with an important skill for your future career: team work. You work on real-life knowledge problems, often provided by external companies. This program awards a degree titled 'Bachelor of Science'. The language of instruction is English. The program duration is 3 years. It carries a total of 180 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: IELTS overall band (minimum score or level: 6); or TOEFL paper based (minimum score or level: 550); or TOEFL computer based (minimum score or level: 213); or TOEFL internet based (minimum score or level: 80). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 May '25 for EU/EEA applicants, and 1 Apr '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.maastrichtuniversity.nl/education/bachelor/bachelor-data-science-and-artificial-intelligence."
919,"Zuyd University of Applied Sciences offers a Master program called 'Interior Architecture' in Maastricht. The program lasts for 1 year. This program awards a degree titled 'Master of Arts'. The language of instruction is English. The program duration is 1 year. It carries a total of 120 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: IELTS overall band (minimum score or level: 6.0). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Jul '25 for EU/EEA applicants, and 1 Jun '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.zuyd.nl/en/programmes/master-interior-architecture."
920,"Maastricht University offers a Master program called 'Accounting & Business Information Technology' in Maastricht. The program lasts for 11 months. Program Overview: Are you interested in gathering, interpreting and checking financial information that will help your company make better business decisions? Do you want to interpret financial data to determine how many products your company should make? Or figure out what information is relevant for your investors? Then the specialisation in Accounting and Business Information Technology could be right for you. The specialisation is part of the master's programme in International Business. Accounting isn’t just number crunching and ledgers; it's the backbone of any organisation, at the centre of some of the most important business decisions. And international accounting principles are just that - international. You can take your qualification across the globe. The Accounting and Information Management department at the School of Business and Economics is a research powerhouse, collaborating with the EU and many European auditing firms. This program awards a degree titled '-'. The language of instruction is English. The program duration is 11 months. It carries a total of 60 ECTS credits. The program is accredited by Information not available. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Jun '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://curriculum.maastrichtuniversity.nl/education/master/master-international-business-track-accounting-and-business-information-technology."
921,"Maastricht University offers a Master program called 'Legal Psychology' in Maastricht. The program lasts for 1 year. Program Overview: This programme includes courses on topics such as lie detection, eyewitness testimonies, interrogation techniques and false confessions. By combining theory with practical skills, you’ll be equipped with all the training you need to pursue a career in police investigation units, juvenile offenders’ institutions, child protective services and high-security forensic facilities. If you would like to talk with a current student about the programme.Then, you can contact our student ambassador on Instagram: www.instagram.com/umhealthmasterlp/ This program awards a degree titled '-'. The language of instruction is English. The program duration is 1 year. It carries a total of 60 ECTS credits. The program is accredited by Information not available. Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Jun '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.maastrichtuniversity.nl/education/master/master-psychology-specialisation-legal-psychology."
922,"Maastricht University offers a Master program called 'Imaging Engineering' in Maastricht. The program lasts for 2 years. Program Overview: Would you like to revolutionise how scientists view the world and everything in it? Start a master in Imaging Engineering! As an imaging engineer, you will revolutionise our view of the world on the microscopic level. You will stretch the use of techniques beyond their conventional applications. An MRI scanner, for example, takes images of tumours, but an imaging engineer can use the same technology to study the structures' chemical makeup. Another example: Chemists use mass spectrometers for chemical analysis, but imaging engineers can use them to image tissues and, at the same time, analyse their biochemical processes. We designed our programme especially for you, science and engineering graduates, who want to become experts in this dynamic field. You will learn to develop and refine cutting-edge imaging techniques and experiments using state-of-the-art equipment. Your master's degree prepares you for careers in areas like medical diagnostics, forensic imaging, materials development, and sustainable food production. This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 2 years. It carries a total of 120 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: IELTS overall band (minimum score or level: 6.5); or TOEFL internet based (minimum score or level: 90); or TOEIC (minimum score or level: 710); or Cambridge Certificate in Advanced English (minimum score or level: 180); or TOEFL paper based (minimum score or level: 20). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Jun '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://curriculum.maastrichtuniversity.nl/education/master/imaging-engineering."
923,"Maastricht University offers a Master program called 'Governance and Leadership in European Public Health' in Maastricht. The program lasts for 1 year. Program Overview: Sound health policies and plans as well as effective health services contribute to the health and wellbeing of people. In Europe and beyond, there is a need for public health professionals who can advise on public health outcomes and strategies. With Governance and Leadership in European Public Health, you learn how to create and use evidence to advise on effective health policies. You are taught to include political, legal, ethical, and social determinants. All to become a future health leader. Our student population is as diverse as the curriculum, allowing for multicultural and multidisciplinary collaborations. You practice your leadership capabilities during training sessions with public health experts and alumni to grow as a future leader in the health domain. This programme is for you if: you seek to understand health policy processes and the role of evidence therein; you are looking to lead societal transformations for health and well-being; you want to pursue a career in research, policy, advocacy, consulting, or regulatory affairs. Any questions? Ask our student ambassador on Instagram! https://www.instagram.com/umhealthmastergleph This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 1 year. It carries a total of 60 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: IELTS overall band (minimum score or level: 6.5); or TOEFL internet based (minimum score or level: 90); or TOEIC (minimum score or level: 1000); or Cambridge Certificate in Advanced English (minimum score or level: C); or TOEFL paper based (minimum score or level: 60). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay € 25,000. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Jun '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://curriculum.maastrichtuniversity.nl/education/master/master-european-public-health."
924,"Maastricht University offers a Short or summer course program called 'Intensive Course in Applied Mathematics for Clinical Research' in Maastricht. The program lasts for 5 days. Program Overview: This intensive course is designed for postgraduate researchers in nursing, medicine, and medical research. The goal is to provide a strong foundation in mathematical and statistical concepts that are essential for advanced clinical research. The course will cover descriptive and inferential statistics, hypothesis testing, epidemiological data analysis, and the application of mathematical techniques in clinical studies. It will focus on practical applications to help researchers effectively analyse and interpret health data. This course provides the mathematical and statistical tools necessary to design robust studies, interpret clinical data, and apply findings effectively to improve patient outcomes. By combining theoretical knowledge with practical skills, participants will be better equipped to conduct high-quality research, understand epidemiological trends, and contribute significantly to their fields. This program awards a degree titled '-'. The language of instruction is English. The program duration is 5 days. It carries a total of 2 ECTS credits. The program is accredited by Information not available. Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 30 Jun '25, the application deadline is 30 May '25 for EU/EEA applicants, and 30 May '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://maastricht.dreamapply.com/courses/course/303-intensive-course-applied-mathematics-clinical-research."
925,"Maastricht University offers a Short or summer course program called 'Luxury Industry: Your Journey into Luxury Experience and Marketing' in Maastricht. The program lasts for 12 days. Program Overview: Despite the ongoing economic challenges and financial insecurities, the luxury market remains a segment of beauty and discern. Welcome to our exclusive Luxury Experience and Marketing course, where we explore what the luxury world is about and the art and science of promoting high-end brands and products. This course is designed for marketing enthusiasts, business professionals, and aspiring luxury brand managers who seek to master the intricacies of the elite market segment. Through a blend of theoretical insights and practical case studies, participants will gain a deep understanding of the unique challenges and opportunities within the luxury sector. The course is structured in 3 weeks and will be based on market research principles by which the student will carry its own study and will present its main findings at the end of the course. Throughout the course, the students will experience luxury first hand, while acquiring plentiful of research skills. The course will offer real networking opportunities into luxury industry. This program awards a degree titled '-'. The language of instruction is English. The program duration is 12 days. It carries a total of 3 ECTS credits. The program is accredited by Information not available. Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 23 Jun '25, the application deadline is 23 May '25 for EU/EEA applicants, and 23 May '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://maastricht.dreamapply.com/courses/course/323-luxury-industry-your-journey-into-luxury-experience-and-marketing."
926,"Maastricht University offers a Master program called 'Health Education and Promotion' in Maastricht. The program lasts for 1 year. Program Overview: Our world is facing serious problems such as climate change and increasing poverty and inequality. Ensuring health and well-being is complex, which makes promoting them fundamental. The starting point to promote health is human behaviour and the environments in which that behaviour occurs. In this programme, we focus on understanding and changing behaviours that contribute to health and well-being. Health education enables people to increase control over and improve their health by, for example, developing skills and capabilities. Health promotion ensures that environments, communities, and policies are beneficial to health and well-being. You are equipped with important tools for understanding human behaviour and leveraging a comprehensive planned and systematic approach to the development, implementation and evaluation of health-promoting interventions. This programme is for you if: you have a keen interest in understanding (un)healthy behaviours and how environments impact health; you are passionate about developing health-promoting interventions and policies; you want to make an impact and address complex societal challenges and the wicked problems we face in our current society. Any questions? Ask our student ambassador on Instagram! https://www.instagram.com/umhealthmasterhep *The part-time option of this master's programme is not available for the academic year 2025-2026 This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 1 year. It carries a total of 60 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: Cambridge Certificate in Advanced English (minimum score or level: C); or TOEIC (minimum score or level: 1000); or TOEFL internet based (minimum score or level: 90); or IELTS overall band (minimum score or level: 6.5); or TOEFL paper based (minimum score or level: 60). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay € 25,000. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Jun '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://curriculum.maastrichtuniversity.nl/education/master/master-health-education-and-promotion."
927,"Maastricht University offers a Short or summer course program called 'The Rise of China and Its Implications For World Politics' in Maastricht. The program lasts for 12 days. Program Overview: This course aims to provide a thorough analysis of the important issues and processes related to China’s politics and international relations. It focuses on developments that have taken place since the end of the Cold War, with a particular emphasis on China’s economic, political, military, and cultural growth and their implications for international politics up to the present day. This course aims to provide a comprehensive analysis of China’s ascent, drawing insights from IR and political theory. This program awards a degree titled '-'. The language of instruction is English. The program duration is 12 days. It carries a total of 3 ECTS credits. The program is accredited by Information not available. Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 7 Jul '25, the application deadline is 6 Jun '25 for EU/EEA applicants, and 6 Jun '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://maastricht.dreamapply.com/courses/course/249-rise-china-and-its-implications-world-politics?search=56303."
928,"Maastricht University offers a Short or summer course program called 'You Think You Know Who You Are' in Maastricht. The program lasts for 4 days. Program Overview: Enneagram: a psychological character typology model This Workshop will be given on a very interactive way so that you are able to become aware of the most common Enneagram Types. This will help give you insight into your own specific character traits, qualities and challenges and also which potential growth developments are associated with your primary Enneagram type (or Types). It is a workshop for everyone, young or old, and from any culture. This workshop can be used to support our coaching, training, educating and guiding of people in your work within general business life. These workshops can be used as a reference for people who are interested in Enneagram and in the methods concerning the core qualities and quadrants The knowledge of the Enneagram will be life changing. It gives you a lot of opportunities to deal with your own defence mechanism and patterns and a way to cooperate with the other personality types because you get a lot of insight in the habits and structures of the different personality types. This program awards a degree titled '-'. The language of instruction is English. The program duration is 4 days. It carries a total of Information not available credits. The program is accredited by Information not available. Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 4 Aug '25, the application deadline is 4 Jul '25 for EU/EEA applicants, and 4 Jul '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://maastricht.dreamapply.com/courses/course/254-you-think-you-know-you?search=56305."
929,"Maastricht University offers a Master program called 'Banking' in Maastricht. The program lasts for 11 months. Program Overview: What’s it all about? Banking is about far more than high-street banks and credit cards. It’s also about investment banking, risk management for financial institutions, derivatives and the effects of monetary policy, as well as how these relate to macroeconomic developments. The specialisation in Banking offers you an ideal balance between the broader area of asset pricing and the narrower area of investment. It's a unique programme, as very few universities in Europe offer anything similar. This specialised degree, along with the quantitative and decision-making skills you will learn in the programme, will make you stand out amongst your peers in the labour market. What you’ll actually do: learn to make intelligent, well-informed decisions and recommendations about financial structures develop an understanding of what distinguishes financial institutions from non-financial corporations demonstrate in-depth knowledge of techniques in risk management and derivatives This program awards a degree titled '-'. The language of instruction is English. The program duration is 11 months. It carries a total of 60 ECTS credits. The program is accredited by Information not available. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Jun '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://curriculum.maastrichtuniversity.nl/education/master/master-financial-economics."
930,"Maastricht University offers a Bachelor program called 'Computer Science' in Maastricht. The program lasts for 3 years. Program Overview: Computer Science is a great choice for students who are fascinated by computers, who want to make a real difference in the world, or who are looking for a field with solid career prospects. Today’s world runs on computers. And computers run on software – literally. As a computer scientist, you create software that makes computers run better, faster, and safer. You lay the foundations that unlock a wide range of applications in business, healthcare, science, logistics, and more. A Computer Science degree opens up excellent job prospects. This program awards a degree titled 'Bachelor of Science'. The language of instruction is English. The program duration is 3 years. It carries a total of 180 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: IELTS overall band (minimum score or level: 6); or TOEFL paper based (minimum score or level: 550); or TOEFL computer based (minimum score or level: 213); or TOEFL internet based (minimum score or level: 80). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 13,500; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 May '25 for EU/EEA applicants, and 1 Apr '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://curriculum.maastrichtuniversity.nl/education/bachelor/computer-science."
